Vuosi,type,result,Sosialidemokraattinen Puolue,Perussuomalaiset,Kokoomus,Keskusta,Vihr,Vasemmistoliitto,Ruotsalainen Kansanpuolue,Kristillisdemokraatit,Liike Nyt,Remontti,Nuorsuomalaiset,Suomen Maaseudun Puolue,Kirjava Puolue,Liberaalinen Kansanpuolue,Suomen Kansan Demokraattinen Liitto,Demokraattinen Vaihtoehto,Perustuslaillinen Oikeistopuolue,SKYP,TPSL,Suomen Kansanpuolue,Vapaamielisten Liitto,Kansallinen Edistyspuolue,IKL,IKL + Kok.,PMP,SPP,Kansanpuolue,Ruotsalainen Vasemmisto,STPV,KrTL
2015,Eduskuntavaalit,Paikat,34,38,37,49,15,12,9,5,,,,,,,,,,,,,,,,,,,,,,
2014,Europarlamenttivaalit,Paikat,2,2,3,3,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2011,Eduskuntavaalit,Paikat,42,39,44,35,10,14,9,6,,,,,,,,,,,,,,,,,,,,,,
2009,Europarlamenttivaalit,Paikat,2,1,3,3,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,
2007,Eduskuntavaalit,Paikat,45,5,50,51,15,17,9,7,,,,,,0,,,,,,,,,,,,,,,,
2004,Europarlamenttivaalit,Paikat,3,0,4,4,1,1,1,0,,,,,,0,,,,,,,,,,,,,,,,
2003,Eduskuntavaalit,Paikat,53,3,40,55,14,19,8,7,,,,,0,0,,,,,,,,,,,,,,,,
1999,Europarlamenttivaalit,Paikat,3,0,4,4,2,1,1,1,,,,,,0,,,,,,,,,,,,,,,,
1999,Eduskuntavaalit,Paikat,51,1,46,48,11,20,11,10,,1,0,,0,0,,,,,,,,,,,,,,,,
1996,Europarlamenttivaalit,Paikat,4,0,4,4,1,2,1,0,,,0,,,,,,,,,,,,,,,,,,,
1995,Eduskuntavaalit,Paikat,63,,39,44,9,22,11,7,,,2,1,1,0,,,,,,,,,,,,,,,,
1991,Eduskuntavaalit,Paikat,48,,40,55,10,19,11,8,,,,7,0,1,,,0,,,,,,,,,,,,,
1987,Eduskuntavaalit,Paikat,56,,53,40,4,,12,5,,,,9,,0,16,4,0,,,,,,,,,,,,,
1983,Eduskuntavaalit,Paikat,57,,44,38,2,,10,3,,,,17,,,27,,1,0,,,,,,,,,,,,
1979,Eduskuntavaalit,Paikat,52,,47,36,,,9,9,,,,7,,4,35,,0,0,,,,,,,,,,,,
1975,Eduskuntavaalit,Paikat,54,,35,39,,,9,9,,,,2,,9,40,,1,1,,,,,,,,,,,,
1972,Eduskuntavaalit,Paikat,55,,34,35,,,9,4,,,,18,,7,37,,,,0,,,,,,,,,,,
1970,Eduskuntavaalit,Paikat,52,,37,36,,,11,1,,,,18,,8,36,,,,0,,,,,,,,,,,
1966,Eduskuntavaalit,Paikat,55,,26,49,,,11,0,,,,1,,9,40,,,,7,,,,,,,,,,,
1962,Eduskuntavaalit,Paikat,38,,32,53,,,13,,,,,0,,,47,,,,2,13,1,,,,,,,,,
1958,Eduskuntavaalit,Paikat,48,,29,48,,,13,0,,,,,,,50,,,,3,8,0,,,,,,,,,
1954,Eduskuntavaalit,Paikat,54,,24,53,,,12,,,,,,,,43,,,,,13,0,,,,0,,,,,
1951,Eduskuntavaalit,Paikat,53,,28,51,,,14,,,,,,,,43,,,,,10,0,,,,0,,,0,,
